"object_id","term_taxonomy_id","term_order"
"5747","79","0"
"5747","95","0"
"5814","1","0"
"5814","68","0"
"5814","69","0"
"5814","70","0"
"5814","72","0"
"5814","73","0"
"5814","75","0"
"5814","76","0"
"5822","1","0"
"5822","60","0"
"5822","66","0"
"5822","67","0"
"5822","68","0"
"5822","69","0"
"5822","70","0"
"5822","71","0"
"5822","72","0"
"5822","75","0"
"5822","76","0"
"5822","79","0"
"5822","95","0"
"5822","99","0"
"5826","1","0"
"5826","60","0"
"5826","66","0"
"5826","67","0"
"5826","68","0"
"5826","70","0"
"5826","71","0"
"5826","72","0"
"5826","73","0"
"5826","75","0"
"5826","76","0"
"5826","79","0"
"5826","95","0"
"5840","1","0"
"5840","60","0"
"5840","66","0"
"5840","67","0"
"5840","68","0"
"5840","69","0"
"5840","70","0"
"5840","71","0"
"5840","72","0"
"5840","73","0"
"5840","75","0"
"5840","76","0"
"5840","79","0"
"5840","95","0"
"5850","1","0"
"5850","60","0"
"5850","66","0"
"5850","67","0"
"5850","68","0"
"5850","69","0"
"5850","70","0"
"5850","71","0"
"5850","72","0"
"5850","73","0"
"5850","76","0"
"5850","79","0"
"5850","95","0"
"5850","99","0"
"5952","98","0"
"5980","1","0"
"5980","60","0"
"5980","66","0"
"5980","67","0"
"5980","68","0"
"5980","69","0"
"5980","70","0"
"5980","71","0"
"5980","73","0"
"5980","75","0"
"5980","76","0"
"5980","79","0"
"5980","95","0"
"5980","99","0"
"5983","1","0"
"5983","60","0"
"5983","66","0"
"5983","68","0"
"5983","69","0"
"5983","70","0"
"5983","71","0"
"5983","72","0"
"5983","73","0"
"5983","75","0"
"5983","76","0"
"5983","79","0"
"5983","95","0"
"6006","1","0"
"6006","60","0"
"6006","66","0"
"6006","68","0"
"6006","69","0"
"6006","70","0"
"6006","71","0"
"6006","72","0"
"6006","73","0"
"6006","75","0"
"6006","76","0"
"6006","79","0"
"6006","95","0"
"6019","1","0"
"6019","60","0"
"6019","66","0"
"6019","67","0"
"6019","68","0"
"6019","69","0"
"6019","70","0"
"6019","71","0"
"6019","72","0"
"6019","73","0"
"6019","75","0"
"6019","76","0"
"6019","79","0"
"6019","95","0"
"6024","1","0"
"6024","60","0"
"6024","66","0"
"6024","67","0"
"6024","68","0"
"6024","69","0"
"6024","70","0"
"6024","71","0"
"6024","72","0"
"6024","73","0"
